Path,File,Date Acquired,Sample,Misc
D:\MassHunter\GCMS\1\data\20181213\,H501.D,13 Dec 2018  19:03    ,H501, 
TIC: H501.D\data.ms,,,,
5.806,10901,,,
5.81,11930,,,
5.813,11018,,,
5.817,10909,,,
5.82,10411,,,
5.823,11679,,,
5.827,10962,,,
5.83,10868,,,
5.833,10936,,,
5.837,10823,,,
5.84,11598,,,
5.844,11712,,,
5.847,10902,,,
5.85,11652,,,
5.854,11501,,,
5.857,12029,,,
5.861,11319,,,
5.864,11577,,,
5.867,11366,,,
5.871,11221,,,
5.874,10734,,,
5.877,10806,,,
5.881,11899,,,
5.884,10180,,,
5.888,11293,,,
5.891,11333,,,
5.894,11250,,,
5.898,10838,,,
5.901,10152,,,
5.904,10917,,,
5.908,10394,,,
5.911,10951,,,
5.915,10937,,,
5.918,10559,,,
5.921,10531,,,
5.925,11247,,,
5.928,10449,,,
5.931,10544,,,
5.935,10870,,,
5.938,11005,,,
5.942,10332,,,
5.945,10480,,,
5.948,10880,,,
5.952,10796,,,
5.955,11013,,,
5.958,10819,,,
5.962,10678,,,
5.965,10936,,,
5.969,11201,,,
5.972,10881,,,
5.975,10871,,,
5.979,11346,,,
5.982,10392,,,
5.985,10206,,,
5.989,11544,,,
5.992,13142,,,
5.996,12980,,,
5.999,13721,,,
6.002,14301,,,
6.006,14383,,,
6.009,13654,,,
6.012,13974,,,
6.016,13341,,,
6.019,13404,,,
6.023,13596,,,
6.026,13802,,,
6.029,12453,,,
6.033,12940,,,
6.036,12713,,,
6.039,12580,,,
6.043,12066,,,
6.046,11686,,,
6.05,11551,,,
6.053,11929,,,
6.056,11127,,,
6.06,11025,,,
6.063,11045,,,
6.066,11378,,,
6.07,11043,,,
6.073,11087,,,
6.077,11327,,,
6.08,10756,,,
6.083,10866,,,
6.087,10852,,,
6.09,10480,,,
6.093,11168,,,
6.097,10414,,,
6.1,11220,,,
6.104,11151,,,
6.107,10379,,,
6.11,10333,,,
6.114,11523,,,
6.117,11949,,,
6.12,13082,,,
6.124,13778,,,
6.127,13942,,,
6.131,14549,,,
6.134,13750,,,
6.137,13433,,,
6.141,13468,,,
6.144,13707,,,
6.147,13183,,,
6.151,12663,,,
6.154,12951,,,
6.158,12933,,,
6.161,13341,,,
6.164,12428,,,
6.168,11309,,,
6.171,11852,,,
6.174,11649,,,
6.178,10855,,,
6.181,11706,,,
6.185,11164,,,
6.188,11016,,,
6.191,10754,,,
6.195,10583,,,
6.198,10451,,,
6.201,10487,,,
6.205,10660,,,
6.208,10816,,,
6.212,10731,,,
6.215,10620,,,
6.218,10248,,,
6.222,10296,,,
6.225,10713,,,
6.228,11110,,,
6.232,10207,,,
6.235,10605,,,
6.239,10949,,,
6.242,10404,,,
6.245,10534,,,
6.249,10586,,,
6.252,11006,,,
6.255,10820,,,
6.259,10253,,,
6.262,10626,,,
6.266,11485,,,
6.269,10772,,,
6.272,10157,,,
6.276,10947,,,
6.279,10641,,,
6.282,10748,,,
6.286,10663,,,
6.289,10669,,,
6.293,10695,,,
6.296,10554,,,
6.299,10190,,,
6.303,10611,,,
6.306,10823,,,
6.309,10856,,,
6.313,9949,,,
6.316,10553,,,
6.32,10504,,,
6.323,10168,,,
6.326,10417,,,
6.33,10724,,,
6.333,11399,,,
6.336,10434,,,
6.34,10636,,,
6.343,10443,,,
6.347,10254,,,
6.35,10196,,,
6.353,11128,,,
6.357,10853,,,
6.36,10742,,,
6.363,10031,,,
6.367,10542,,,
6.37,10594,,,
6.374,10895,,,
6.377,10337,,,
6.38,10219,,,
6.384,10751,,,
6.387,10469,,,
6.39,10422,,,
6.394,9660,,,
6.397,10116,,,
6.401,10746,,,
6.404,10483,,,
6.407,10542,,,
6.411,10054,,,
6.414,10299,,,
6.417,10948,,,
6.421,10500,,,
6.424,10415,,,
6.428,10449,,,
6.431,11108,,,
6.434,10196,,,
6.438,10502,,,
6.441,10312,,,
6.444,10604,,,
6.448,10080,,,
6.451,10003,,,
6.455,10601,,,
6.458,11113,,,
6.461,10490,,,
6.465,10213,,,
6.468,10743,,,
6.471,10507,,,
6.475,10676,,,
6.478,10301,,,
6.482,10413,,,
6.485,10527,,,
6.488,10249,,,
6.492,10539,,,
6.495,10706,,,
6.498,9986,,,
6.502,9981,,,
6.505,10122,,,
6.509,10650,,,
6.512,10451,,,
6.515,9953,,,
6.519,10296,,,
6.522,10418,,,
6.525,10281,,,
6.529,10251,,,
6.532,10000,,,
6.536,10277,,,
6.539,10592,,,
6.542,10068,,,
6.546,9958,,,
6.549,10663,,,
6.552,10241,,,
6.556,9782,,,
6.559,10979,,,
6.563,10868,,,
6.566,10811,,,
6.569,10998,,,
6.573,10225,,,
6.576,9616,,,
6.579,11182,,,
6.583,10319,,,
6.586,10531,,,
6.59,10804,,,
6.593,10450,,,
6.596,10588,,,
6.6,10074,,,
6.603,10582,,,
6.606,10186,,,
6.61,10735,,,
6.613,9921,,,
6.617,10906,,,
6.62,10328,,,
6.623,10139,,,
6.627,10323,,,
6.63,10169,,,
6.633,10253,,,
6.637,10614,,,
6.64,10552,,,
6.644,10446,,,
6.647,10149,,,
6.65,10515,,,
6.654,10092,,,
6.657,10440,,,
6.66,10385,,,
6.664,10301,,,
6.667,10411,,,
